"Name","rating","review"
"Sanjana","5","Being a teenager I do not qualify to write this review but this book has ammended my perspectives to a very large extent. So I want to compel you all to read this book, irrespective of your age. It has hidden treasures buried in it. Whenever I feel stressed or helpless, I grab it and sit in the corner of my room and give it a read.

Not only do I feel refreshed and relaxed but I also find a new driving force inside me to work.
Robin sir has skillfully suggested methods to live a better quality life and die peacefully after leaving a mark in the sands of time with small but significant efforts.
If you are in need of help or want to get a break from your hectic schedule, read it.
That's all.
Thanks! ✨"
"Abhiishek Mohta","4","The novel is all about living life more optimistically, purposely.It is like a guide to reading casually whenever one is thinking they are not breathing up to their full potential as the lesson would assuredly turn on a new way of programming life."
"Chinmay D.","5","Very inspiring chapter's to help you to find the good balance in your life."
"gurpreet","2","When i read The monk who sold his ferrari,  became a big fan of Robin Sharma, but this book is disappointment, chapters are so short that they did not convey the message properly( in my point of).  it seems Sharma g were in hurry while writing this book. The readers who like short stories or short chapters may like it but i dont think that book goes with its heading"
"Thyagarajan P","5","Positive observations:
1. Every chapter in this book are so short & effective and it induces me to read more & more.
That is unique character of this book.
2. The synopsis of this book chapters are so fascinated & it is required to every age of peoples.
3. The wordings & quotations are quite simple & very effective.
4. Some chapters contents are very powerful & I started using your path to reach my destination.
5. It seems to be titbits but the author given all the essential things to everyone.

According to me, every human has to read this book before he start his/her life but atleast before he/ she dies."
"Prashant K","1","Nothing new in this book, just a way for writer to earn money by writing a book from 100 points which are known to everyone & nothing exciting.  For some writers like this one, writing has become money earning profession rather than passion  same like boring  tv serials which keep on adding news episodes without any proper content. Such writers should now stop writing books just for earnings  & do some serious work. I  am getting a feeling that most of the self help books are just like old wine in new bottle. Best self help book is ""How to Stop worrying & start living."" Its simple in language, meaningful , cheaper & not only GYAN  . You just  read this book & start working hard in whatever profession you are into. Whenever you will face problems or tough situations, refer this book & try to enjoy your life as it comes. Stay Safe!!!!!!!!"
"Vivian Ronaldo","4","I generally don't read self-help books. But, this one book made me to read more of such books. Thanks to the author Robin Sharma. It didn't really transform my life in overnight, rather, it did allowed me to sit and introspect a bit on what I might be missing in life. This book is something that reverberates in your mind for a long time, leave alone giving you an idea of what's most important.Favorite quote - ""When you are born the World rejoice while you cry. Live a life in a such a way that when you DIE, the World should cry and you rejoice."""
"Kartik","5","The book is beautifully carved into small chapters which will be easier for a beginner to start with. Amazing life lessons which we all have forgotten in our busy lifestyle. Go for it. You will not be disappointed."
"Brij","5","This is my fire time that I Confronted Mr. Sharma through this book  and I can finally say that this is one of the best self-help book that I have read so far. I was captivated by the title,actually, when I was looking for a self-help book on kindle. It turned out to be a different one than I had thought before buying it but it kept me glued until I finished .Recommend you to read once!!"
"Amazon Customer","5","I purchased this book in 2018 . Also, started it sometime ago but got judgemental after 2-3 chapters and rated it one star with a theme  ' Full of impractical advices ' .Apologies to Robin Sharma for my deed . He wrote an absolute masterpiece . I came back to it again when have nothing to read and I will never regret that in my life .The book consists of 101 ways to enhance your growth,  live a more meaningful and happy life . I used to highlight the chapters I found I can implement easily . That way you can get the most out of it . Also, make sure to come back to it and read it again coz it is not a one time read ( like other self help books ) .All in all , it is a wonderful book and contain ways which are practical .  Text is legible . No issue with quality .10/10 ."
"Sanjay choudhary","4","this is same kind of book as Robin is known for. he gives you different aspect to life and provides the much needed calmness and peace. it gives you great lesson about life and its journey. I loved the mink who sold his ferrai much but you cant just ignore this. its a short book and based on thoughts which are clearly explained in chapters. a good one to read and relax a bit before starting new journey."
"Seema Khandelwal","3","Well, I always loved his books. The monk who sold his Ferrari is my all time fav. But, this book has nothing much to offer. It is all 'Gyan' which we all know. There is nothing new in it. Our parents keeping telling these things to us day and night and I am so bored hearing them that I started hating the book because it just repeats what they told us the whole day.Not interested. May inspire teenagers but not me"
"Dhruv","5","Very good book. I have read first book of Robin Sharma and it is a very good experience. The book has 101 tips & habits which will help one transform his/her life.
However what I missed is some decent guidelines on how to implement these, for instance the book says learn to forgive and it's explains the benefits and reasons that how forgiving will help you but recently I had a very bitter experience with someone and even though I tried but I could not take that thing off my mind. I guess may be this would take sometime and practice, merely reading a book won't help and I should keep trying these things.
After Steven covey's 7 habbit this is second best self help book I have read till now.

Recommended and it is a must read.

Full marks and 5 out of 5 rating."
"mohite tushar","2","Good book but all about observations which is not given right direction for goalSo request to author please write a book with one particular point and don’t give the own example instead give the example of down to earth people because down to earth people is true hard worker they have to adjust everything form food to education and from family to get secure job."
"Sejal bhardwaj","5","Fantastic book. In this book the author highlight the point bout who will cry when you die . In the very beginning he told that when he grown up then his father told him ''son when you was born you cried and the world rejoiced '' and asked him to live a life in such a way that when you die the world cries and you rejoice. Be something great. Follow your passion, work hard to achieve live a life you are dreaming for 🙂."
"Kingshuk Biswas","5","First of all, let me tell you, this is not a book that will change your life completely after reading. It will show you the paths to lead a happy and self contented life, that we all people crave for.To sum it up, I would say, ""Simple facts and knowledge of life, that will make a big difference in your life if you apply it!""Remember, Knowledge is not power, but Knowledge used is power, Knowledge not used is garbage.Thanks for reading, have a great day!"
"Lucky Kagra","1","Nothing so interesting as the cover suggests it to comprise, but One cannot deny that it is an Average Book to Trigger yourself towards a better finishing of your Daily Routine Jobs, i.e. it is meant to help you work on, in accordance with some motives, your thoughts."
"Divyansh S","5","A very nice book, amazingly written and highly rated. Bibliophiles will relish reading this book. This book is one of the top bestsellers on Amazon. The book is filled with writer's sentiments and experience."
"Garvit Saini","4","It's very helpful books but more helpful for Foreigner (Non Indian) because in India we daily get to know such lessons by our elders!So this book is only to revise what I daily learn from my elders and grandparents! That's it! I'm also highly obliged to Robin Sharma who contributed in giving such helpful knowledge to rest of the world!Thank you."
"Pankaj singla","5","this book is soo amazing . this book helps to shape the future ."
"Sameer RN","5","This is a very good book to read. Robin Sharma writes it in a very good way, a book is also divided into many chapters so easy to understand & remember its important things."
"pangloss","3","I read the Monk who sold his ferrari & thus I was inspired to buy this one. I feel there is a lot of repetition and the book didn't offer the excitement or thrill like the former book did."
"Sandip Dhankecha","4","Honest review : This book will surely help you to discover yourself and overcome depression, anxiety, unnecessary concerns and dealing with it... Its a must buy ..  Book size(not lenght) is small  and handy compared to the Monk who sold his ferrari... All in the end.. Its a very fine book k to read and Very helpful to everyone.. Its a good Kickstart for reading."
"Shiva Reddy","4","The size of book is small than i expected.But i can say u 1 thing, that this book has wide variety of topics which is very usefull.Few are them are know topics, even though the way of expressing te different aspects are good."
"Deepika Saharan","5","Its like you dont need a whole day to read it...you can pick this book at any time  .read any chapter which is hardly more than 2 pages and wolllaaaahhh you got a message, a lesson for life , a thing on which you should have given a thought and you might feel like...oh..i had been doing it wrong and now i must improve..just follow one thing in your life each day and u will be a far better person..bt remember its not only to read..its to learn to implement"
"Annanya  gupta","5","if you need motivation? yes! this is the book . one of robin sharma's bestseller.I have read half of the book and it gave me very positive results.The book will change your behaviour and perspective towards life.Its like carrying a mini version of motion in ur bag."
"sachin garg","5","Excellent book. The book identifies some key traits/habits which if inculcated or practised can make life more rewarding and satisfying.  Robin has used very succint essays to bring out the importance of each of these and tips on how to make them a part of our life. Its like getting a quick but invaluable piece of advice from your grandfather."
"Mohd raza","5","I purchased it at 140 + 60 delivery charge
=220
The paper quality seems to be very good
And it fits well in your hands.
This book is about self improvement.
It has about 101 life lessons to learn and to apply in your life.
If you searching for some habits to implement in your day to day life then you can purchase this one, it might be a good option for you."
"Vikram","5","Book is really very nice with good printing and good paper quality.It's short still very nice, and this is what makes it a readable book which will not bore you.If you are an avid reader,you can read it within 8-10 hours."
"Diddi Sathish","1","paper is just like tissue paper. I purchased years back that time very good quality paper and printing is also good. but this time I disappointed a lot. It looks like rough note book. do not buy"
"Amazon Customer","5","One of the best books you can invest on. Has crisp short meaningful chapters that can influence and improve anyone's day to day life. Robin sharma also smartly includes a relevant quote in each chapter and ends almost every chapter in a positive inspiring way.What I liked most was, I could very well relate each and every chapter and realised that all of the mentioned is something I have realised by myself also. But Robin puts it in a very inspiring way. Must read."
"Rahul Kini","5","This book compiles some of the most incredible quotes and thoughts from Robin Sharma and other great thinkers whom he truly regards in high esteem. Investing in the book was perhaps my best decision considering the varied set of dilemmas that I was going through. And yes, I would also like to mention that, unlike other self help books, does not emotionally manipulate you, rather, helps you build your own original perspective  towards life."
"Praveen Kumar","2","You will be disappointed by this book if you bought it after reading the title. this has a number of small chapters but if you are self motivated and working on yoursllf this book will not add any value to your reading. It book just touches on a bunch of topics which you will not find engaging. You can finish the entire book in one or two sitting."
"Upasana","5","This books opens your mind and takes to the right path and focus on yourself and your goals.It is the best self help book I have read in full and enjoy n started following in my life too."
"Adilur Rahman","4","I have completed the book and found it very effective and life changing. The chapters of the book is short. That is the plus point of the book. You can easily finish the book only in a week. If you want to enrich your life this book is highy recommended"
"Maya","4","This books cover all parts of life.Any one interested in learning some amazing things should have it.This gives you a sense ofknowledge about the field concern.Can not say a must buy.You can find the required resources for covering every part of your life via this book.Robin has given lots of resources for our purpose."
"Aparoop","5","This book acts as a compendium of many things that anyone can do, this I believe is the real currency for the book. I do not read too many self help books, however after reading this book I will need very less or that many books as recommended here by Robin.Robin Sharma as an author is distinct because he is honest as a mentor, he shares his experiences- which don't look like advertisements and he is precise. I am tempted to try the Monk who sold his ferrari"
"Shreya Ghosh","5","I totally love this author. I enjoy his podcasts as well. This book helps you get back into an organised lifestyle. However this book is more about application  of the things written than a one time read and then the book gets decorated up on the shelves. Its a slow read and one will enjoy its effects if it keeps applying hem to his/her real life."
"Priyanka saha Roy","5","I purchase bengali version of this book. And as expected amazon delivered it before time. I am really very happy for this. The book in 1 word just awesome. I recommend for everyone pls read this book.its a life changing book. Its not a story or novel type of book,but its really very helpful to your life improvement."
"Amazon Customer","2","This book is not up to that mark which Robin Sharma used to write it's just glimpse in every topic that we know ... The name of the book is nothing to do with the content of the book, Name is just for business to attract the Readers from every corner. If you have already read a self help book from other authors don't prefer to buy this book Surely it will be a waste of money and your valuable time."
"Abhijit","5","I would like to tell you that I loved the book and I have started changing myself into a more responsible person because of what is written in the book. I will even suggest this book to all my peers at work and at home as well.I would also like to thank Robin Sharma for providing such a motivating book and I look forward to do the things that are suggested in this book"
"Mary Jane","5","This is an amazing book by Robin Sharma. I was a bit skeptical about buying this book, as The Monk who sold his Ferrari was a little bit overwhelming for me. There were too many concepts, some contradicting the other and so on, but then, Who will cry when I die is really amazing. This beautiful book comes with 100 little articles and each one is a gem on it's own. They contain a lot of wisdom and practicality and can be practiced in our day to day lives. I enjoyed reading the book."
"Shadab Alam","5","It will inspire you and if you follow the suggestion given by writer it will surely help you to change your life .The one thing which I have start doing after this book is I start making my every day journal which really help me in my every day life ."
"kumari sushmita","4","If you are lazy to read person, this book consist of the list of things that you should do in your life. Each chapter is 2-5 pages long but this book nicely summarizes important aspects of mind, body, relationships, etc. This book is a nice book to start with as it is easy to read and very precise."
"Brejesh Verma","5","Must read.
Small chapters, narrowed down nicely to get gleued reading at a stretch.
Suggest- Read many times to get desired results.

Life changing Nuggets."
"Amazon Customer","5","I am big devoted reader for self help books and I was skeptical in taking the book by seeing the the title but this book is worth reading.  The author not only says about but tells which rituals to instill to be great human being and he also teaches how to be productive Above all an awesome book  Go For It u will not regret  Your life may change after reading this"
"Ashwini patil","1","Everything is fine but I have requested Who Will Cry When You Die? Book they send to us wrong book that is  Revolution Twenty 20: Love. Corruption. Ambition."
"Dip SAHA CHOWDHURY","4","Thank You Mr. Robin Sharma For Publishing Such a Good Book For Us. I Would Call The Book As "" Philosophy Of  Good Living Life "".Really Every Chapter of This Book Is A New Way Of Living. After Completing This Book I Will Read ""The Secret Letters of the Monk Who Sold His Ferrari"". You Are The Second Person After Mr. Sandeep Maheshwari, Who is Teaching Me How To Live To The Fullest - Dip"
"Rajeev Patel","4","One of the best book by Robin Sharma.Highly motivating.I liked the way the book is written.It's challenging and motivating at the same time."
"Merchant &Merchant","5","Robin sharma is a superb writer and trainer .I says his book very practical and deep informational .you invest your money in wasteges but you don't think invest in money . Today , you invest your money in book, transform your life ."
"Amazon Customer","5","Best book that I have ever read. I dont like to read much but for this book I must say that the title attracted me to choose this book then after this I couldn't stop reading this. Its inspiring us telling me that m on right track and the most important is that I started spending an hour for my newly ventured hobby that is painting so thaks a lot to the Author of book"
"Jashmine K.","1","Not for the ones who are seeking sth beyond those basic tenets of motivation. Superficial and elementary standard.Might be of help to those having lower threshold to overcome monsters."
"Sarvajit","4","This book contains lot of tips that are simple to follow in our day to day life(it could be personal, professional). This book can be read randomly on any of the point that interests the reader and the tips/information very small ,simple and very very impressive.Thanks to Amazon  for selling the product for a less price , delivered it very fast ."
"K Satish kumar","5","All life lessons in one book...very calming and peaceful..to read this book sitting quietly alone in balcony..I would recommend this book to people who like reading books and want improve their positive thinking...Thanks to Robin Sharma....he has written so wonderfully many life changing chapters in one book."
"kapil ch padhan","4","Robin S. Sharma would love to hear how this book has affected both you and your organization. Share your success stories, insights and experiences. Do you have a tip or quotes that you would like to share with other readers in Robin’s popular newsletter, The Sharma Leadership Report™?"
"Aman saini","5","Title of the book mismatches with its content. But the book is awesome. The lessons given are life changing. A must read.  Simplest facts of life have been presented in a very practical way."
"M Rahaman","4","Till now great, did not have the time to finish. I'm going through twelfth chapter. Will update after I finish the book. But it's a book everyone should go through. It somehow polishes you."
"Aman jasaiwal","4","The book was superb it have 101 chapters but it was soo small that you can able to read the whole book in 2_3 weeks . I loved a line in it  the line was "" when you born the people around you are happy and you were crying do a thing in your life that when you die people cry and you smile . The book was written in simple words. Loved it"
"Girish","5","Guys , it's not like novel , it's small small moral stories , very nice , for every 2-3 pages there will be some or other lesson to learn , very simple English , just buy it."
"Ravish","5","I read other books of Robin Sharma but this one is best. Read one chapter a day and apply the teachings and you won't regret buying this book 🙂"
"Priyanka Saxena","5","After do many research finally i got this book. This book is sooo awesome to be honest it gave me a true meaning of every little thing in a simple way,it's chapters are so short and Deep !which can makes you think deeper this is my 4 day since I'm reading this book.You must purchase this book !!!Thankyou. ;)"
"VAASTAB","5","Must read book. I've posted all the list of the chapters that are in it;just to give you a brief idea for what's the book is about. If you want to gain the proper knowledge about this go ahead and buy this without any hesitation.Packaging was great, no damage to Product.Go ahead and buy this, if you're interested in it."
"Punit Kohli","4","No idea who will cry when I die🙂. Interesting short stories or say short chapter's. Need to keep dictionary or take google help for meaning as I did as few words are difficult, although the book is great."
"Tousif","5","Just got it. In 2nd line....... It's Awesome......This is second book after ""the monk who sold his Ferrari"" that  I'll going to read.....But book is tiny in size.....But content is Magnificent......Go for it Undoubtedly......"
"Mukul gaur","5","A tool to enhance your life, efficient working,to become happy, to know your abilities, or to make this world a better place to live on.in toto I will say that it is one of the best books that I have navigated through, and one more thing -some of the books are life changing ,I can assure u you will find the same in this book.."
"shalini","5","The book is a real face on life. An eye opener. I am touched by the lessons writer trying to make us understand abt life, problems, solutions"
"sushant","5","This is my first English author book ...I am going to read in life at the age of 29th. ...After I read first 4 stories ..I felt like I miss something in my life..But now I have started to apply Robin Sharma's rules to my life to live happily. ...Once I will complete this in future I will buy 'The monk who sold his Ferrari' ."
"Amazon Customer","5","I got this book couple of months ago and finished reading it in a week. Author mainly talks about our thinking habits and how to change them which eventually makes you a better person and increases yourself confidence and ability to achieve your goals.Feel like some Mentor is with me to guide me regarding How to use our Own Mind for the betterment of our life."
"Jeeten","5","One of the bes book, I ever read.... Each line is like touching the heart and inspiring the mind to do something which we normally miss and loose our happiness infact loose ourselves."
"bk","5","It's an inspirational book for me to strengthen my belief that purpose of life is a life of purpose.The tittle of the book attracted me when I was lost a bit and now after reading thisI want to read the monk who sold his Ferrari too."
"Kaushal C.","5","My teacher recommended me this book, its fantastic author teleports you into his thoughts and tells you to be a better person with the help of small stories"
"Amazon Customer","4","After reading this book i can feel a difference in my behaviour.. Not only in personal life but professional as well.. its truely said that you are what you read... Great Articulation by Robin Sharma ..Thank you Robin for your thoughts that you share with your readers."
"Akshay Shirbhate","4","This book contains small and effective lessons which u can easily relate to ur daily life.There are very small joyful things which we miss daily and try to find other. This book helps to find joy and happiness in ur daily life."
"Gayathri Rajan","1","Not so interesting. It's like the glance of the gratitude by Rhonda bhyrne and the monk who sold his Ferrari. Not recommended"
"Rahul","5","Simple superb, an excellently written book. You may already be knowing most of the things written in the book, but when you read same things in the form of a book you get to think about it. Recommended !"
"Amazon Customer","5","Great Book..Read only 2 to 3 chapter daily in the morning.. and apply them in your daily life.. write down your daily experience related to a particular chapter of the book in a saperate note book.. it will change your attitude.. and after every month just read the index of book and analyse the changes in your attitude..Just go for it.."
"CVR Murty","3","This is more like a motivational book. Those who never came across any such books may find it very interesting. But those who have read Dale Carnegie and Norman Vincent Peale, this is a very ordinary work. After reading `The Monk Who sold his Ferrari', this book is a disappointment."
"Nani Roy","2","Low quality page as price....book is high price as its ₹142/-....its looks like pocket dictionary, 😟Today received ....lets should review it after full reading..."
"Amazon Customer","5","Excellent collection of life lessons many of which are very practical to do.The book involves list of things involve in our life from our birth till death and how they will create a change in our lives once we started following them. Great thoughts explained by the author!"
"Shreysh singh","4","It has small chapters not more than two pages each once you start reading it will arouse your interest in reading and you can't stop until you finish. These chapters quite help me in changing my perspective towards everything."
"Balaji Kadambi","5","A must read book for the current generation. Highly recommend. The techniques described help get at least some clarity to deal with our chaotic lives."
"Shreya","5","I really appreciate the knowledge of this book 📖 it used to keep me busy with itself after it arrived took me 3 days to complete it...I am really interested in self-help Books it was worth my time 💜... recived it well packaged overall a great experience"
"Read_A_Book_❤️","4","This book is a good place to start if you are new to inspirational books and/or authors, and need help locating your specific topic of interest."
"rahul","4","I read it after The monk who sold his Ferrari.  So i felt that i was just reading the same book with some new words."
"Amazon Customer","4","I ordered this book from Amazon a year back,it has 101 lessons that will help you for self improvement and mastery ive found similar content from the monk who sold his Ferrari plus some extra but if you want to implement one lesson everyday then this book is the one"
"Dharmik Zinzuvadiya","5","This book contains 101 short stories about how to live an effective life.I suggest it's 101 golden letters of wisdom about how to live happily.Robin Sharma at his best. This is not as good as the monk who sold his ferrari. But it's a must read book."
"Mehraj","5","I love this novel. It change your way of thinking and makes you a better person.Robin Sharma you are the ""Best."""
"Tanay mishra","5","I read the summary and it do gives you those specific solutions to clear your doubts about life. Book is small but page quality is very good including the glossy cover."
"Manjit Deori","5","Amazing, awesome. Rabin Sharma, the best. At least for once you should read this book. Believe me, If you are going to buy this book you are gonna find some genius thoughts and idea in your mind."
"Atul M. Barabde","5","This is my first book i read on wisdom and self improvement. As  I m going through rough patch this book has given me confidence and meaning to every moment of life.Thanks to Robin"
"Shubhanker","2","Two star just for robin sharma. The book is written perfectly. But the print of the book i got was up and down. Printing was not good. Amazon must look about this problem I mean if they will sell anything like this product they will have a great lose ahead."
"Manish Verma","5","Awesome book. Got a good deal for Kindle version. Small small eye opening chapters. All motivational. Must read in this fast paced life."
"Mona","5","My husband said it can change one's life for good...if the tips and suggestions given are applied in life... Very good self help book."
"Vijay","3","As always, another wonderful book by Robin Sharma. You don't need to read this book in one sitting. there are so many practices you can imbibe in your daily life using this book. On a skeptical note, I am not sure if all of this is practical. We are all after all human and have our constraints. Just find it difficult to imagine that one can change one's life just by changing daily habits. Nevertheless, worth a read."
"MD","3","Book is good to read once .. some topics are amazing .. some r okay .. but can't follow everything.. cantdo practically.."
"Rahul","4","Beautiful book, indeed. It helps to ""reconnect you to the things you value most and keep you enthusiastic about all the things in your life "" ."
"HonestlyYours","5","Buy this if like reading stuffs and don't disrespect books by never reading them untill they are dust ridden left out poor souls by the book shelf"
"Ayushi","5","Very good book..a must read specially if you are going through bad time.Book delivered on time. Thanks Amazon :)"
"Mommi Tamut","4","Book contains good topic and received in good condition but it's quite tiny , no it's too tiny..its a pocket note book."
"Md. Ajaz","5","Its a gold mine of wisdom. buy it, study it, feel the real change in life. Words ain't enough to explain the outcomes of studying this book.the wisdom that I got from this book is life changing... I recommend you all to study books of Robin Sharma to live life in better way."
"Sundeep","5","This is very nice self help book, with wonderful life lessons to change ones life. Don't miss out on this Jewel."
"Pihu","5","This book can change anyone's life.... beautifully depicted the most important things which are being ignored in today's world..Must read"
"Raj","4","I like the format of how its written. 101 chapters keep the readers engaging. Great thoughts on personal development. Must read if u are into self help and development."
"A.R","1","This novel is a waste of time and money as well. There is nothing new given in the book but the author has spent time on boasting his own accomplishments and achievements."
"Arun shetty","5","Very nice book. Every page have worth reading. This will help to change our life a lot.  Must read book."
"SHASHANK VANKADARI","5","Written in simple language and is best for beginners who started reading and aspiring to change their lifestyle."
"Rahul kushwaha","5","Hi ! this is Rahul , After reading this book, i can say this is not only a book , its a lesson of life, reveals truth factors of life, hidden feeling which we don't try to understand.The book helps a lot to give a good idea how to live life confidently , how to be a good person/human being.. what i got from this book...How many people will remember you , when you were not in the world...""Who will Cry , when you Die."""
"A  CUSTOMER","5","Robbin Sharma is the most inspiring author and orator. This book is specially good because almost every page is a new chapter. It can be a great book for morning self help book routine and specially if you only have 10 mins to read. I have read this book 3 times. I recommend it."
"Amit GJ","5","Everyone should read. Sometimes we are not sure or don't know what we are doing in life or purpose of life. And might be each time we can't get true guidelines for it by people or environment around us. This book will help to guide to some extent. I started from this book and will definitely try to read all books of Robin Sharma. Thoughts and guidelines are very pure and explained in simple manner.👏👏👏💐💐💐💐"
"Babai","5","I m moved, thrilled and can't wait to live a new life from this moment. I am recommending my friends and family."
"Amazon Customer","5","Its one of the best book I have come across, Just read it and you will realize that your Heart Has suddenly Changed and You want to be a Better person form today...."
"Amazon Customer","3","Since the content in each topic was very less , was not very much impressive , the reason i know because i read this book just after ""The monk who sold the Ferrari"" so my expectation was too high"
"Lalit Singh","5","This book contents are short and nicely described as the writer said we can start reading this book from any page as all the titles are seperate but also connected."
"Kindle Customer","5","Motivating , inspiring and very lively . This book will give you a lesson for life time and will teach you to live your life to fullest without regret. Learn from past act in present and things will fall right I future. Thank you Robin sir for this wonderful book ."
"Aniket jawalkar","5","One of my most favorite authors is Robin Sharma. Like Monk who sold his Ferrari and all others books of Robin Shamra, this book also offers the great learning experience. It will inspire you to make changes in your life which will lead you to mastery."
"Amazon Customer","5","I think I was very proud about buying this book. Bcoz I learn the importance and significance of the life while read this book. Feedback from my friends about this book is good. I suggest that everyone in this world must study this book. I salute Mr. Robin sharma for this wonderful product."
"MultiZone","3","The book is as small as a school notebook. And if you have read any Robin Sharma's book previously then this will feel almost repetitive. Not that interesting but some thoughts are really hit home. Worth a shot !"
"Ashish Mishra","5","Enlightens the mind and soul... Gives a great push required to fuel up the engine called life for a much better cause. I considered that reading a book on self improvement topic might not be worth but this book changed that conspiracy theory forever. Thank you"
"Chitradeep Das","5","The book is just amazing, very satisfied and happy after reading this book. I think everyone should read this book. The author Robin Sharma has written it so beautifully,his books are always good. Thank u"
"kuldeep bhadouriya","4","a book which relates to almost everyone out there in this fast-paced world. liked the way it is written with small chapters with great meaning. good job Robin and amazon."
"Jijo Viji Thomas","5","An amazing book really..It will improve your thoughts... your ideas...Your language.....and your complete life...When I started to read I automatically felt to finish fast as it is so much interesting to read. You never feel a bit of boring"
"abhishek niranjan","5","This book is the first of its kind i have read and the book is so meaningfull in the current scenario, one must read this book. It'll boost your trust in yourself and will inspire you to find out youself again but with a better meaning this time."
"Amazon Customer","1","Very boring and nothing surprising"
"Nilesh Teli","4","Great message, simple language and truly motivational..it makes you aware of the things which you know already but have forgotten... It gives you simple and easy to follow mantra of living life..."
"Amazon Customer","1","His all books are apparently same.He preaches what is known to everyone.Moreover, the pages are torn and it looks really old one as the pages are of yellow color."
"Harshal Patel","5","This book is so amazing that it have all the life-changing stories and live example from one of my favourite story writer Robin Sharma. Love it"
